class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
RhStart,0.458342999,0.366362661,0.146995261,0.998590171,0.458418339,0.357090741,0.14143981,0.999016166,0.455306202,0.356112868,0.141368583,0.999068439,0.452103585,0.355044335,0.141220436,0.999203622,0.464442879,0.35866794,0.098239712,0.999115527,0.465524346,0.358965516,0.098064192,0.999070883,0.466652036,0.359271854,0.097782284,0.999262512,0.437209636,0.355454355,0.116357833,0.998434842,0.458255947,0.361619622,-0.074606039,0.999108255,0.445303679,0.373267412,0.145284027,0.998693526,0.45056951,0.37405467,0.089281909,0.999172628,0.362915874,0.393659264,0.245806396,0.997312963,0.415390432,0.407447964,-0.284317553,0.999976039,0.32245633,0.47497806,0.261736244,0.018939214,0.418130755,0.486970097,-0.242023468,0.982411563,0.31758526,0.530037761,0.193896651,0.0156225,0.46283716,0.556308389,-0.003185504,0.818074822,0.311583251,0.546764553,0.205695689,0.017980104,0.473170608,0.573761225,-0.009855798,0.758734107,0.314113498,0.545804143,0.180676937,0.017912043,0.476443529,0.573899984,0.012904122,0.74570334,0.31842345,0.540076256,0.178890735,0.019464731,0.470958173,0.568031847,0.013009797,0.674529791,0.245653793,0.513751984,0.190930054,0.998302698,0.259193242,0.516936421,-0.190935358,0.999675751,0.321054667,0.596917987,0.343638748,0.206489876,0.340473235,0.610058427,-0.092293166,0.983368099,0.314891696,0.698304653,0.525373995,0.42570737,0.319681525,0.715181351,-0.003917134,0.983956754,0.299297273,0.718293369,0.540009916,0.425236315,0.299833179,0.738712728,-0.000586024,0.961135805,0.397356719,0.714871228,0.507402718,0.59153837,0.412164122,0.731642425,-0.097319633,0.972655952
RhStart,0.456568748,0.367213339,0.156960949,0.998227537,0.457147717,0.357273132,0.152301028,0.998667836,0.454254836,0.356206298,0.152205288,0.998763442,0.451421559,0.355091363,0.152071223,0.998966217,0.463206232,0.358701825,0.107598841,0.998800993,0.464323074,0.358769059,0.107398562,0.998758435,0.465429068,0.358836025,0.107075945,0.998996675,0.437331915,0.355014563,0.129001111,0.997922957,0.456595391,0.3606987,-0.068164907,0.998735249,0.444078594,0.373409361,0.155540481,0.997995853,0.448306203,0.374706894,0.09764722,0.998710632,0.368204385,0.393604368,0.254696012,0.995769501,0.414450318,0.403984278,-0.282767981,0.999963284,0.305331677,0.468852192,0.262687117,0.0251597,0.415018916,0.481946915,-0.257695973,0.986938119,0.282590955,0.519257247,0.187822878,0.020089209,0.459423065,0.553152323,-0.028360538,0.829574049,0.271200538,0.535693347,0.199026704,0.023184314,0.466413766,0.568149984,-0.037562605,0.767573714,0.274282277,0.534998596,0.173245221,0.023410955,0.469080746,0.56918323,-0.014964997,0.752377093,0.280586332,0.529036343,0.172437742,0.02494383,0.464543611,0.564168215,-0.012175765,0.677986383,0.247136891,0.514184177,0.191731706,0.997949183,0.256513149,0.516150236,-0.191732496,0.999482751,0.323536605,0.596110404,0.316733241,0.238285974,0.341496855,0.609557331,-0.093955673,0.988467276,0.313461423,0.69611603,0.476228923,0.497277617,0.316894174,0.715767682,-0.001063783,0.987187862,0.296590745,0.717631161,0.488123894,0.50122416,0.295484334,0.737798989,0.002287996,0.966588199,0.393211752,0.713968217,0.452489316,0.669714391,0.410050154,0.733460724,-0.093026273,0.977303922
RhStart,0.458136797,0.366164118,0.144777432,0.998390198,0.459237635,0.356295913,0.141771406,0.998809814,0.4565292,0.355369806,0.141669437,0.998912692,0.453914255,0.354447365,0.141542107,0.999063909,0.464644253,0.3577784,0.095808409,0.998905659,0.465503931,0.357970625,0.095609851,0.998868763,0.466389656,0.358192444,0.095291719,0.999066055,0.439890683,0.355152249,0.125975713,0.998121917,0.457564175,0.36076197,-0.076305918,0.998869836,0.446275979,0.372770548,0.14602147,0.998252809,0.450136691,0.373896033,0.086605825,0.998891413,0.372211874,0.392089844,0.256084293,0.996328771,0.415225804,0.404599518,-0.291656911,0.99996841,0.304235846,0.466909558,0.263735801,0.029235246,0.415168315,0.482142806,-0.270524263,0.990819275,0.278644323,0.517492771,0.18193233,0.02550018,0.458829761,0.552001357,-0.046544474,0.875952303,0.266870141,0.534141064,0.190813676,0.028855929,0.465956807,0.567105472,-0.058302429,0.821294487,0.269541055,0.533459187,0.164631352,0.029147478,0.468748927,0.567992091,-0.037255686,0.808133602,0.275875866,0.527317464,0.165957108,0.030723443,0.464212656,0.562826157,-0.031064931,0.741547704,0.252672911,0.512876093,0.195030853,0.998108864,0.257283926,0.515685916,-0.195054233,0.999529958,0.326662898,0.595644355,0.323878735,0.272704989,0.339487195,0.610495269,-0.101356417,0.989940226,0.315798819,0.694356024,0.494195998,0.540205657,0.317030698,0.716650248,-0.013489788,0.988996863,0.299572378,0.715079308,0.506820202,0.536895156,0.294931054,0.738134682,-0.011217218,0.970558405,0.395618021,0.712842166,0.46732679,0.706523299,0.410939991,0.733196437,-0.115843207,0.980354965
RhStart,0.456467569,0.366068006,0.178475797,0.998390675,0.456721812,0.356191874,0.170100033,0.998845935,0.453386813,0.35497582,0.170014396,0.998957515,0.450068891,0.353740305,0.169891074,0.999087214,0.464115977,0.358176976,0.127217099,0.998916388,0.465676188,0.358462483,0.127012521,0.998903751,0.467245609,0.358763695,0.126695752,0.999064386,0.43635419,0.353984684,0.131020814,0.998266816,0.460099936,0.361414403,-0.057413664,0.998868763,0.444006354,0.371698529,0.171329588,0.998146415,0.449928343,0.37360248,0.115978412,0.998805165,0.36869812,0.391626149,0.247526422,0.996055365,0.417559415,0.404301852,-0.277044833,0.999953151,0.303008765,0.468016118,0.247316018,0.031313177,0.416116446,0.48215282,-0.242167383,0.986630976,0.278734744,0.519866765,0.175878331,0.02594387,0.458101004,0.553158402,0.006581331,0.816571593,0.26722765,0.536656916,0.188051119,0.029071411,0.465605021,0.567641377,0.000414114,0.747468352,0.269992441,0.536282063,0.16298905,0.029247347,0.467629582,0.568444431,0.0233081,0.730366826,0.276251346,0.530126393,0.16082792,0.030300073,0.462613672,0.563390732,0.022996843,0.660292864,0.247056141,0.514243186,0.188832864,0.998301625,0.259679139,0.516481221,-0.188834533,0.999465406,0.327154368,0.597438872,0.307776451,0.293316275,0.344246715,0.609269261,-0.080593251,0.990533471,0.314653903,0.698791325,0.457469374,0.573703468,0.319966763,0.713218689,0.024581201,0.989278734,0.296924591,0.719203174,0.468281955,0.567854404,0.29854542,0.733976662,0.029235952,0.971330345,0.393913269,0.71576947,0.432105035,0.725496173,0.411975682,0.732277393,-0.062805794,0.979858398
RhStart,0.463796377,0.365312576,0.104985423,0.998198688,0.463464588,0.355917066,0.105633736,0.99866879,0.461038649,0.355131239,0.105536602,0.998805165,0.458651602,0.354333758,0.105395645,0.998965025,0.467638612,0.357175708,0.057259351,0.998870194,0.467946887,0.35733676,0.057052787,0.998875201,0.46827352,0.357501954,0.056754991,0.999077797,0.444319189,0.355201721,0.105653815,0.998036206,0.458101809,0.35963425,-0.107183039,0.998912454,0.452783257,0.372425914,0.112076603,0.998241663,0.456031293,0.373161793,0.049671039,0.998940408,0.375591218,0.393587798,0.247026071,0.996135712,0.414659679,0.404296309,-0.318149298,0.999966741,0.321897537,0.473090768,0.251066178,0.02348063,0.416171193,0.482623667,-0.290439934,0.985444248,0.298758447,0.524775624,0.166295066,0.013322121,0.459502935,0.555528164,-0.060518488,0.819120586,0.28743121,0.541551411,0.17428042,0.014875223,0.467762887,0.570284784,-0.074098669,0.75963968,0.288319558,0.539839387,0.148969233,0.015025197,0.471244365,0.570996761,-0.053186685,0.747522235,0.294683397,0.533668399,0.150353417,0.016284006,0.465770662,0.565773129,-0.045019776,0.668016732,0.25146541,0.512169421,0.196691722,0.997335613,0.257949948,0.514727473,-0.19658488,0.999302983,0.327919275,0.594982982,0.328552842,0.261173457,0.34578234,0.607915163,-0.095625974,0.986204803,0.318985522,0.696917236,0.499429673,0.49085936,0.322119266,0.713535845,0.011789453,0.984418273,0.303398669,0.716676295,0.511854708,0.472825229,0.301298648,0.734395683,0.015842784,0.960862696,0.407276213,0.717894495,0.469488859,0.664768875,0.419415653,0.732882202,-0.087898105,0.974782288
RhStart,0.461618185,0.365629911,0.145089835,0.998901367,0.46331805,0.35588634,0.142349333,0.999256194,0.460825324,0.355111688,0.142272949,0.999279201,0.45827049,0.354373187,0.142135188,0.999387383,0.468143851,0.356925577,0.099397235,0.999328375,0.468892217,0.356915116,0.099220864,0.99926728,0.469625324,0.356941104,0.098959528,0.99942112,0.443758518,0.3551884,0.127602831,0.998976469,0.460916162,0.359293312,-0.06178036,0.999376237,0.449931413,0.372603416,0.146442816,0.999040902,0.453614235,0.372926086,0.091016524,0.999440968,0.372077048,0.391417176,0.256763369,0.998036325,0.420140713,0.405044436,-0.279469341,0.999984741,0.320568979,0.471537024,0.254839003,0.023791617,0.419777274,0.484500051,-0.242465779,0.986999333,0.302027673,0.526983142,0.180131719,0.014744656,0.46157831,0.556826949,-0.009735824,0.841163814,0.292092025,0.544448078,0.186617866,0.0161201,0.471569091,0.573281527,-0.018146954,0.778565407,0.293349564,0.54302603,0.164331093,0.015908631,0.475298882,0.573707044,0.00121499,0.767409086,0.298647434,0.536806643,0.16546309,0.017636763,0.469565839,0.56799376,0.005066746,0.701674342,0.249041393,0.509124935,0.190847397,0.99875474,0.262028575,0.513057232,-0.190784112,0.99973923,0.317884028,0.604340374,0.328669667,0.227462456,0.348164201,0.606773615,-0.1142492,0.983910203,0.321054965,0.696087539,0.497710109,0.422165602,0.32738471,0.714770377,-0.024055231,0.981454015,0.304866821,0.714684427,0.51003468,0.427887022,0.305245668,0.734758317,-0.020372199,0.953993261,0.399960786,0.713164985,0.46930775,0.57862395,0.413927197,0.730553091,-0.120877929,0.968998671
RhStart,0.465122402,0.367707878,0.070563301,0.998863816,0.466873199,0.357992023,0.074435323,0.999112427,0.465010911,0.35731402,0.074342147,0.999136865,0.463095248,0.356605619,0.074218221,0.999281347,0.469880283,0.358501941,0.028379126,0.999251425,0.470107764,0.358248919,0.02820969,0.999177754,0.470466673,0.358002543,0.027956998,0.999362051,0.44806549,0.35588178,0.092455119,0.998647749,0.460761309,0.359167695,-0.110828094,0.999218941,0.453665882,0.374854892,0.08408533,0.998948276,0.454936177,0.374473959,0.024670411,0.999406934,0.375382602,0.392659515,0.237257615,0.99812001,0.419069469,0.40490678,-0.3105748,0.999986172,0.327010959,0.471365243,0.240482971,0.022688298,0.418678254,0.484686464,-0.291118234,0.986365557,0.302825034,0.526525795,0.157907307,0.012944333,0.460753471,0.555184245,-0.091779724,0.848992527,0.292113423,0.54410553,0.161305711,0.014503608,0.470142126,0.57119143,-0.108218305,0.794431806,0.291774243,0.542100668,0.13802585,0.014331937,0.473535597,0.571090579,-0.090621077,0.783782959,0.297162116,0.535856366,0.142661467,0.016133945,0.468271017,0.565688908,-0.078365572,0.713416517,0.253839999,0.509012938,0.190809846,0.998771727,0.26501888,0.513408899,-0.190721065,0.99973768,0.320697397,0.601498723,0.34212777,0.252529114,0.350036472,0.603326559,-0.10257668,0.985254407,0.321552038,0.691747665,0.527659237,0.464378685,0.327513576,0.713063896,-0.004227425,0.985756934,0.305563182,0.711236298,0.541560948,0.455513149,0.305087537,0.734872878,-0.000585105,0.961776376,0.397512257,0.711072624,0.49873963,0.650196195,0.409800977,0.729695499,-0.107576281,0.978085399
RhStart,0.468564272,0.366631627,0.127698481,0.998659134,0.468329489,0.3570939,0.125593245,0.999025106,0.465746343,0.356174082,0.125509307,0.999031782,0.463089943,0.355167776,0.125377655,0.999225855,0.47318691,0.358229488,0.08179637,0.999167562,0.473996222,0.358180523,0.081644148,0.999047577,0.47492981,0.358109117,0.081388265,0.999273717,0.448470235,0.354307204,0.11428339,0.998630285,0.465560704,0.35920012,-0.078860991,0.999134481,0.455857217,0.373438925,0.130283922,0.998924434,0.459446549,0.373529553,0.073853239,0.999374092,0.376278281,0.391205162,0.244549662,0.997695029,0.421217322,0.405010849,-0.289494276,0.999986172,0.323740393,0.470064759,0.249337405,0.021300998,0.419138074,0.484728813,-0.262801528,0.989767492,0.299064517,0.525094867,0.176039204,0.013791057,0.461806983,0.555485964,-0.067272462,0.891767681,0.287923515,0.5426929,0.18017371,0.015401309,0.4728598,0.572861314,-0.080764756,0.845558047,0.288345695,0.541174352,0.159403056,0.015018169,0.476117462,0.572446346,-0.065314271,0.835751951,0.293838233,0.535054564,0.162173286,0.017002396,0.470549703,0.566800773,-0.054682869,0.777442396,0.255077541,0.507446229,0.190954089,0.998785436,0.264219791,0.512536883,-0.190907672,0.999807775,0.322570294,0.601872385,0.338434219,0.235476553,0.347901136,0.605694473,-0.127575859,0.985682547,0.320649147,0.693207741,0.520671666,0.449267596,0.326588511,0.715021372,-0.062615588,0.986962497,0.305813998,0.710103035,0.53386575,0.457512647,0.305794984,0.736009419,-0.062247496,0.965628088,0.400289595,0.710572898,0.49114117,0.613159716,0.410394728,0.731351435,-0.174588621,0.978129625
RhStart,0.478880435,0.371393323,0.055089574,0.998653173,0.47786057,0.361112386,0.063163109,0.999025583,0.47506249,0.360014409,0.063070737,0.998958588,0.472178876,0.358835578,0.062941968,0.99921298,0.482388616,0.362478375,0.012468354,0.999169588,0.482891709,0.362392515,0.012326553,0.999002039,0.483449817,0.362262338,0.0120867,0.999296546,0.454192847,0.356723279,0.09631712,0.998487234,0.470583588,0.361791134,-0.128444672,0.999117792,0.464689314,0.376826137,0.073720247,0.998957753,0.468891561,0.377565622,0.00824105,0.999407649,0.37976563,0.391615182,0.247870371,0.998151004,0.420161515,0.404144436,-0.321069002,0.99998641,0.338072658,0.473411947,0.258347929,0.017010009,0.420746863,0.484254926,-0.302657962,0.979590535,0.319164962,0.530596852,0.178885922,0.010802004,0.462203413,0.555394769,-0.105352357,0.841947794,0.310732156,0.548181653,0.182276085,0.012445931,0.472742051,0.572100878,-0.121945716,0.800051749,0.309537321,0.545874119,0.159918204,0.01226362,0.476121485,0.572268128,-0.106370419,0.787642479,0.313746572,0.539849639,0.16393812,0.014078292,0.470259279,0.566889524,-0.092569746,0.72192955,0.257687479,0.506505787,0.193849623,0.998697758,0.266126454,0.511860371,-0.193793848,0.999747455,0.321034491,0.601035357,0.337350219,0.194798678,0.350178123,0.60671854,-0.121385626,0.977237642,0.322126806,0.693759263,0.515451908,0.399716079,0.325913459,0.715282619,-0.031422742,0.98192662,0.305773407,0.712785661,0.528283656,0.417175353,0.304314792,0.736119092,-0.028046981,0.953529298,0.403018415,0.714359999,0.487961769,0.596445978,0.411806315,0.731229782,-0.130655721,0.972937167
RhStart,0.484180719,0.371064514,0.017239269,0.998203635,0.482056618,0.360580593,0.027960146,0.998702288,0.479822427,0.359654993,0.027852466,0.998544335,0.477545917,0.358669996,0.027725331,0.998967052,0.48465988,0.361300588,-0.022541229,0.99884665,0.484341681,0.360911489,-0.022672251,0.998540044,0.484061688,0.36046347,-0.022883801,0.999035239,0.459801435,0.356874853,0.077676348,0.998026192,0.469110489,0.359666437,-0.146601513,0.99872452,0.469455302,0.377025992,0.042085882,0.998709202,0.471544981,0.376831859,-0.023245735,0.999257863,0.382636189,0.392730206,0.235180154,0.997626126,0.421289951,0.40344429,-0.325620681,0.999978185,0.34388274,0.471819162,0.250981063,0.018212512,0.421854436,0.48312971,-0.313296258,0.983422756,0.321057349,0.529757619,0.171307981,0.011368412,0.46468246,0.553423584,-0.119554013,0.853441358,0.312476903,0.547140658,0.172076926,0.013662232,0.476455837,0.571228743,-0.137280598,0.814397097,0.311211467,0.544636786,0.150223762,0.013323749,0.478594661,0.57059288,-0.123743191,0.80203867,0.314478159,0.538768172,0.156632006,0.015420157,0.47343868,0.565331757,-0.107794411,0.746052861,0.26117748,0.50554496,0.189298689,0.998611569,0.26552099,0.510896921,-0.189266384,0.999716938,0.330883026,0.597319722,0.33633849,0.233067289,0.347760439,0.604324341,-0.122976109,0.981564343,0.322490424,0.689585388,0.524613202,0.421251714,0.324419081,0.712288857,-0.026217384,0.983975887,0.30797708,0.706049621,0.538535237,0.435613394,0.303537488,0.731209695,-0.021545444,0.956503212,0.395750999,0.70200187,0.499642491,0.619189858,0.410239726,0.731789887,-0.121091135,0.976638377
